"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.0415298571244","65.974562777685","65.9343727918661","66.0293206044581","66.3024434603876","66.3837772545795","66.3815077551515","66.3037124798515","66.2204165762021","66.2298215329671","66.3169290822614","66.3864649042867","66.4630820118459","66.6434019433694","66.8252350667169","66.7529984829743","66.6225637614573","66.4630605874934","66.0274212661783","65.1159323828094","65.2950542296964","65.2414842292149","65.2924008594864","65.2063093581412","65.2226744895085","65.0638339181353","64.9699226624547","64.8454697206443","64.6493081143125","63.5607739506262","63.6125633843166","64.3029281963663","64.4369014543333",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.256","43.244","43.207","43.162","43.125","43.071","43.031","43.007","43.003","43.007","43.041","43.098","43.164","43.235","43.311","43.259","43.216","43.178","43.153","43.133","43.178","43.244","43.308","43.374","42.924","42.472","42.021","40.493","38.965","36.711","36.263","32.333","31.268",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2365621487616","63.0907995618549","62.9120602598349","62.7780707829681","62.6676956141359","62.6610298677677","62.6102244851681","62.5203107429402","62.2824299143256","62.1525050801779","62.1526985380438","62.2421510016125","62.2258912603938","62.2118622711299","62.0957270716688","62.0997952818202","62.0164936473017","61.8090464648815","61.5713240026392","61.3630339288808","61.2180024214361","60.821590338886","60.5966226676516","60.1346001363957","59.7632633369518","59.755347766005","59.37246347981","59.259532794746","59.1583658097389","58.2610957780544","58.4902076218731","59.4330054442021","59.620615242976",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.525","64.391","63.924","63.896","64.309","65.053","65.142","64.908","64.637","64.5","64.47","64.673","64.637","64.735","64.728","64.9","64.96","64.884","64.668","64.473","64.35","64.33","64.151","63.994","63.656","63.317","63.028","62.793","62.642","62.55","64.304","64.447","64.492",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.568","45.315","47.798","50.086","53.186","53.039","51.873","49.373","48.201","48.925","48.76","48.943","48.608","48.118","47.416","46.701","45.606","46.243","47.473","47.422","51.86","49.365","44.101","43.778","45.96","48.473","50.152","52.006","53.392","50.001","51.336","53.304","53.507",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0198752694598","42.0938431819672","41.9607944989918","42.0514027548924","41.6198527486701","41.9116258106331","41.9615892350383","41.7548544016343","42.0238289033657","41.5592515596634","41.1651012152022","40.6222117812111","40.7959627293076","41.3926968895423","41.6192294826622","42.1368066858836","42.5715545400831","42.672591268702","42.9397165688394","43.3364975405205","42.7888561047465","42.3349251046202","42.4585878202463","42.1894847514731","41.7924176870869","41.8985570689791","41.0777496796078","40.9480097665743","41.0303902973895","39.5171983103941","40.0931517700928","41.1273661781771","41.1781637195377",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.432","72.728","73.168","73.624","74.079","74.048","73.489","73.001","72.713","72.677","72.79","73.105","73.576","74.311","74.64","74.582","74.265","74.341","74.731","75.566","76.487","77.346","78.026","78.576","79.13","79.706","79.519","80.15","80.552","78.649","78.787","79.884","80.202",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.747","56.867","55.269","54.689","49.947","51.379","53.437","55.058","53.735","52.96","50.99","48.436","51.697","53.566","54.43","55.571","55.941","55.692","55.523","55.549","56.295","56.002","55.703","55.119","54.739","54.249","53.899","54.105","54.357","49.6","55.085","56.351","56.613",
